movie_title,avg_compound,avg_positive,avg_neutral,avg_negative,avg_anger,avg_disgust,avg_fear,avg_joy,avg_sadness,avg_surprise
Major Grom: Plague Doctor,0.1346534580240647,0.31587437899472814,0.3653402317292057,0.18122091988412042,0.0713803926777715,0.02679723712441042,0.04443924167077052,0.22057441816742843,0.06822624748495094,0.1432422283889415
The First King,0.08600824784304274,0.3150506026768049,0.3564810463280768,0.2290423540054958,0.05455814913434323,0.04690929228052509,0.033074518895639275,0.23353455899107714,0.10459598974462168,0.1708464591237182
Werewolves Within,0.11087755705355792,0.3643975026112654,0.2975080895837006,0.2535199447601052,0.05010866912788191,0.04915411124494382,0.052547326029279876,0.26845872260290327,0.10300604904438618,0.1521900097762448
Lean on Pete,0.16405837779695337,0.4362470787865194,0.20002994414588263,0.27218870398249817,0.07884814898927947,0.024007552221883048,0.05410893809325481,0.25770763768391175,0.19765320530753921,0.18764457414455882
Gold,-0.016151902104417484,0.30131544553674755,0.2576300185266882,0.3174673496761049,0.08559865599401138,0.0590770252308963,0.06073962864989876,0.1929906188378421,0.12059849563132348,0.16336556060705335
Bastille Day,0.061811244399804205,0.31451108211573836,0.32983972330152433,0.25269983804739443,0.0778400647828271,0.04338080129633046,0.03863518104703361,0.20616133536491865,0.10820501526622034,0.18204898464480515
Demolition,0.055870299997429054,0.34234413590282203,0.2682139925495721,0.28647383555925143,0.05628017950841842,0.030468654772848776,0.03446816766576371,0.21974220725048024,0.20842738499709715,0.1623994150528839
K-12,0.19870753393818935,0.3791619023370246,0.2689424701749037,0.1804543672610695,0.040182965214674626,0.032081030779033085,0.04182466261399285,0.19320883569268818,0.12529430376831438,0.278465733708969
Gotti,-0.05332306929243107,0.2939389532005104,0.22824953062809072,0.34726202363575187,0.07004236992361254,0.10815827266924313,0.0473111794121602,0.18518129036189446,0.13831867826132413,0.1560720104617455
Capture the Flag,-0.07234297929839655,0.2499562375543808,0.2872729251341132,0.322299216281284,0.05587374023690986,0.04579481024385045,0.04500088044071818,0.23498782193796197,0.18372827256627547,0.14734154786988665
Brian Banks,-0.10246244874462242,0.2666934172157198,0.2586019282271231,0.36915586477328766,0.1239578884422252,0.044010327506302745,0.024089852290955078,0.17145250428021414,0.17607943885997854,0.17721789021838885
